1,2,3,4,5,6,Match,rScore,bScore,iElo1,iElo2,iElo3,iElo4,iElo5,iElo6,rElo,bElo,rOdds,bOdds,fElo1,fElo2,fElo3,fElo4,fElo5,fElo6,status1,status2,status3,status4,status5,status6
TREvan10695,C4678,Puzzle,Evan8738,Inbar,gerog,3596,194,206,915.6870390182204,1364.171820475065,943.189878361308,719.6495072944323,775.1177517856545,1400.0340348683474,1074.3495792848644,964.933764649478,0.7279284332491497,0.2720715667508503,902.244391987973,1350.676541581116,929.7472470239748,734.1655580508468,788.6107138768921,1413.4766627558788,TREvan10695_L,C4678_L,Puzzle_L,Evan8738_W,Inbar_W,gerog_W
TREvan10695,C4678,Puzzle,Evan8738,Inbar,gerog,3595,197,187,910.3449327445938,1358.8078356346325,937.8477786110772,725.4378173214695,780.4807735531624,1405.3761331845285,1069.000182330101,970.4315746863869,0.7081823884154401,0.2918176115845599,915.6870390182204,1364.171820475065,943.189878361308,719.6495072944323,775.1177517856545,1400.0340348683474,TREvan10695_W,C4678_W,Puzzle_W,Evan8738_L,Inbar_L,gerog_L
Dak346,gerog,Ricardo5193,Evan8738,Luis1771,CrazyMetic,3594,235,173,1193.3132711540231,1403.7105275875222,955.1585540381346,727.2489499531312,992.308780560733,1032.8789047836956,1184.0607842598934,917.4788784325198,0.916656619957848,0.0833433800421521,1194.9788763762194,1405.3761331845285,956.8241672530788,725.4378173214695,989.4899973267792,1031.2132987560608,Dak346_W,gerog_W,Ricardo5193_W,Evan8738_L,Luis1771_L,CrazyMetic_L
Dak346,gerog,Ricardo5193,Evan8738,Luis1771,CrazyMetic,3593,237,190,1191.6164577554828,1402.013713789575,953.4617321223216,729.1008410100391,995.23444937834,1034.575719040531,1182.3639678891266,919.6370031429702,0.9139691288184582,0.0860308711815418,1193.3132711540231,1403.7105275875222,955.1585540381346,727.2489499531312,992.308780560733,1032.8789047836956,Dak346_W,gerog_W,Ricardo5193_W,Evan8738_L,Luis1771_L,CrazyMetic_L
CrazyMetic,Luis1771,Ricardo5193,Evan8738,Dak346,gerog,3592,198,210,1039.8804351334534,1004.5577281047816,958.7664732613972,723.2889975043302,1186.3117444693323,1396.7089991972964,1001.068212166544,1102.1032470569862,0.2872542822493132,0.7127457177506867,1034.575719040531,995.23444937834,953.4617321223216,729.1008410100391,1191.6164577554828,1402.013713789575,CrazyMetic_L,Luis1771_L,Ricardo5193_L,Evan8738_W,Dak346_W,gerog_W
CrazyMetic,Luis1771,Ricardo5193,Evan8738,Dak346,gerog,3591,144,192,1046.0836760736922,1015.676491230642,964.9697448381932,716.4654362466479,1180.108506962348,1390.5057600926507,1008.909970714176,1095.6932344338825,0.3141971104716007,0.6858028895283993,1039.8804351334534,1004.5577281047816,958.7664732613972,723.2889975043302,1186.3117444693323,1396.7089991972964,CrazyMetic_L,Luis1771_L,Ricardo5193_L,Evan8738_W,Dak346_W,gerog_W
Evan8738,Dak346,gerog,CrazyMetic,TayLew9,Ricardo5193,3590,170,167,703.0063348041398,1167.9239424844843,1378.3211923321817,1058.26824760563,1501.1427230717704,977.1543793169786,1083.0838232069352,1178.855116664793,0.2970443570463905,0.7029556429536095,716.4654362466479,1180.108506962348,1390.5057600926507,1046.0836760736922,1488.958158593903,964.9697448381932,Evan8738_W,Dak346_W,gerog_W,CrazyMetic_L,TayLew9_L,Ricardo5193_L
Evan8738,Dak346,gerog,CrazyMetic,TayLew9,Ricardo5193,3589,176,189,709.5925897558358,1173.8606235352215,1384.2578750559146,1052.3315629597498,1495.2060420210312,971.2176625899344,1089.2370294489908,1172.918422523572,0.3202397927118741,0.6797602072881259,703.0063348041398,1167.9239424844843,1378.3211923321817,1058.26824760563,1501.1427230717704,977.1543793169786,Evan8738_L,Dak346_L,gerog_L,CrazyMetic_W,TayLew9_W,Ricardo5193_W
Evan8738,Dak346,gerog,CrazyMetic,TayLew9,Ricardo5193,3588,230,193,693.6424338831137,1159.5485300543128,1369.9457773561298,1066.643665506707,1509.5181355019452,985.5298460375376,1074.3789137645188,1187.2305490153965,0.2659944807544424,0.7340055192455577,709.5925897558358,1173.8606235352215,1384.2578750559146,1052.3315629597498,1495.2060420210312,971.2176625899344,Evan8738_W,Dak346_W,gerog_W,CrazyMetic_L,TayLew9_L,Ricardo5193_L
Evan8738,Luis1771,TayLew9,gerog,Rob533,Metaljello,3587,216,246,694.7334770579517,1017.4585353131546,1510.4925240732955,1368.9713884843325,1595.898996529014,1236.5476570281787,1074.2281788148005,1400.4726806805083,0.0504791375093585,0.9495208624906416,693.6424338831137,1015.676491230642,1509.5181355019452,1369.9457773561298,1596.8733851003635,1237.5220455995368,Evan8738_L,Luis1771_L,TayLew9_L,gerog_W,Rob533_W,Metaljello_W
